rv,gene_name,mtbc0,h37rv_product,mycobrowser_product,mycobrowser_function,mycobrowser_ec,was_unknown_in_mycobrowser,atlas_verdict,atlas_confidence,atlas_function,atlas_ec,novelty,ahead_of_mycobrowser,ahead_via,ec_vs_mycobrowser,annotation_route,swissprot_curated,functional_basis,support_evidence,n_references
Rv3287c,rsbW,mtbc0_003495,anti-sigma factor RsbW,Anti-sigma factor RsbW (sigma negative effector),"Binds to sigma and blocks its ability to form an RNA polymerase holoenzyme. Regulates negatively SIGF|Rv3286c, and negatively regulated by Rv1365c|RSFA and Rv3687C|RSFB.",,0,requalified,medium,Anti-sigma B factor RsbW.,2.7.11.1,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Foldseek;PDB;STRING,purifying-selection;MS-detected,0
Rv3288c,usfY,-,hypothetical protein,Putative protein UsfY,Function unknown,,1,family_assigned,low,"UsfY, an open reading frame of the sigF gene cluster, located immediately upstream of usfX-sigF (the stress/stationary-phase sigma factor and its anti-sigma factor). UsfY has no significant homologues and may not be co-transcribed with usfX-sigF; molecular function unknown but its genomic context ties it to the SigF stress-response locus.",,new_family_or_domain,0,,,curation/synthesis,0,eggNOG;Foldseek;STRING;phenotype,purifying-selection;MS-detected,1
Rv3289c,,mtbc0_003497,transmembrane protein,Possible transmembrane protein,,,0,dark,low,Conserved hypothetical protein; no recognised domain. Function unknown.,,still_unknown,0,,,unknown,0,eggNOG;Foldseek;STRING,purifying-selection,0
Rv3290c,lat,mtbc0_003498,L-lysine-epsilon aminotransferase,Probable L-lysine-epsilon aminotransferase Lat (L-lysine aminotransferase) (lysine 6-aminotransferase),Possibly involved in L-alpha-aminoadipic acid (L-AAA) biosynthesis. Catalyzes the transfer of the terminal amino group of L-lysine or L-ornithine to alpha-ketoglutarate [catalytic activity: L-lysine + 2-oxoglutarate = 2-aminoadipate 6-semialdehyde + L-glutamate].,2.6.1.36,0,requalified,high,L-lysine 6-transaminase. Pfam: Aminotran_3 (PF00202.28).,2.6.1.36,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,purifying-selection;MS-detected,0
Rv3291c,lrpA,mtbc0_003499,transcriptional regulator LrpA,Probable transcriptional regulatory protein LrpA (Lrp/AsnC-family),Involved in transcriptional mechanism.,,0,family_assigned,medium,"Transcriptional regulator LrpA. Pfam: HTH_24 (PF13412.13), HTH_AsnC-type (PF13404.13), AsnC_trans_reg (PF01037.29).",,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,MS-detected,0
Rv3292,,mtbc0_003500,hypothetical protein,Conserved hypothetical protein,Function unknown,,1,family_assigned,medium,VOC family protein. Pfam: HGLS (PF07063.20).,1.13.11.93,new_family_or_domain,1,curated function (UniProt);EC number,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv3293,pcd,-,piperideine-6-carboxylic acid dehydrogenase,Probable piperideine-6-carboxilic acid dehydrogenase Pcd (piperideine-6-carboxylate dehydrogenase),Involved in L-alpha-aminoadipic acid (L-AAA) biosynthesis (in the second step; the first step is promoted by lat enzyme.,1.5.-.-,0,requalified,high,Piperideine-6-carboxylic acid dehydrogenase. Pfam: Aldedh (PF00171.28).,1.2.1.3,ec_reclassified,0,,reclassified,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv3294c,,-,hypothetical protein,Conserved hypothetical protein,Function unknown,,1,family_assigned,low,"Predicted AAA+-superfamily ATPase (eggNOG COG1373, COG category J). AAA+ ATPase fold at orthology level; role undetermined.",,new_family_or_domain,1,COG category,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,,0
Rv3295,,mtbc0_003503,TetR family transcriptional regulator,Probable transcriptional regulatory protein (probably TetR-family),Involved in transcriptional mechanism.,,0,family_assigned,medium,TetR/AcrR family transcriptional regulator. Pfam: TetR_N (PF00440.30).,,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv3296,lhr,mtbc0_003504,ATP-dependent helicase,Probable ATP-dependent helicase Lhr (large helicase-related protein),Has both ATPase and helicase activities.,3.6.1.-,0,requalified,high,"ATP-dependent helicase. Pfam: DEAD (PF00270.36), ResIII (PF04851.22), Helicase_C (PF00271.38), WHD_Lhr (PF19306.6), DEAD_assoc (PF08494.17), WHD_2nd_Lhr (PF23236.2), WHD_3rd_Lhr (PF23235.2), WHD_4th_Lhr (PF23234.2).",,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,MS-detected,0
Rv3297,nei,mtbc0_003505,endonuclease VIII,Probable endonuclease VIII Nei,Involved in damage reversal. DNA N-glycosylase with an AP lyase activity. Required for the repair of oxidative DNA damage (oxidized pyrimidines).,3.2.2.-;4.2.99.18,0,requalified,high,"Endonuclease VIII Nei2. Pfam: Fapy_DNA_glyco (PF01149.30), H2TH (PF06831.20).",3.2.2.-;4.2.99.18,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,MS-detected,0
Rv3298c,lpqC,mtbc0_003506,esterase LpqC,Possible esterase lipoprotein LpqC,Function unknown; lipolytic enzyme involved in cellular metabolism.,3.1.-.-,0,family_assigned,medium,PHB depolymerase family esterase. Pfam: Peptidase_S9 (PF00326.28).,,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv3299c,atsB,mtbc0_003507,arylsulfatase AtsB,Probable arylsulfatase AtsB (aryl-sulfate sulphohydrolase) (sulfatase),Generates sulfate and phenol from phenol sulfate [catalytic activity: a phenol sulfate + H(2)O = a phenol + sulfate].,3.1.6.1,0,requalified,high,"Arylsulfatase AtsB. Pfam: DUF1269 (PF06897.18), Sulfatase (PF00884.29).",3.1.6.1,confirmed,0,,agree,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,MS-detected,0
Rv3300c,,mtbc0_003508,hypothetical protein,Conserved hypothetical protein,Function unknown,5.4.99.-,1,family_assigned,medium,RluA family pseudouridine synthase. Pfam: PseudoU_synth_2 (PF00849.28).,5.4.99.28;5.4.99.29,new_family_or_domain,1,EC number;COG category,reclassified,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,MS-detected,0
Rv3301c,phoY1,mtbc0_003509,phosphate transport system transcriptional regulator PhoY,Probable phosphate-transport system transcriptional regulatory protein PhoU homolog 1 PhoY1,Involved in transcriptional regulation of active transport of inorganic phosphate across the membrane.,,0,requalified,high,Phosphate signaling complex protein PhoU. Pfam: PhoU (PF01895.25).,,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,MS-detected,0
Rv3302c,glpD2,mtbc0_003510,glycerol-3-phosphate dehydrogenase,Probable glycerol-3-phosphate dehydrogenase GlpD2,"Involved in aerobic respiration and oxidation of glycerol. Reduces an acceptor and generates glycerone phosphate from Sn-glycerol 3-phosphate. Possibly play a role in metabolism of riboflavin, FAD,FMN [catalytic activity: SN-glycerol 3-phosphate + acceptor = glycerone phosphate + reduced acceptor].",1.1.5.3,0,requalified,high,"Glycerol-3-phosphate dehydrogenase/oxidase. Pfam: FAD_binding_3 (PF01494.26), DAO (PF01266.31), FAD_oxidored (PF12831.14), FAD_binding_2 (PF00890.31), DAO_C (PF16901.11).",1.1.5.3,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,essential;vulnerable;MS-detected,0
Rv3303c,lpdA,mtbc0_003511,NAD(P)H quinone reductase LpdA,NAD(P)H quinone reductase LpdA,"Involved in energy metabolism. Can catalyze the reduction of electron acceptors such as 2,6-dimethyl-1,4-benzoquinone (DMBQ) and 5-hydroxy-1,4-napthaquinone (5-HNQ) [catalytic activity: NAD(P)H + a quinone + H+ -> a quinol + NAD(P)+].",1.6.5.2,0,requalified,high,"NAD(P)H-quinone dehydrogenase. Pfam: Pyr_redox_2 (PF07992.21), Pyr_redox (PF00070.34), Pyr_redox_dim (PF02852.29).",1.6.5.2;1.8.1.4,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,vulnerable;MS-detected,0
Rv3304,,mtbc0_003512,hypothetical protein,Conserved protein,Function unknown,,1,requalified,high,"Gamma-glutamylcyclotransferase. Pfam: GGACT (PF06094.18), AIG2_2 (PF13772.12).",,new_function,1,COG category;requalified function,,curation/synthesis,0,eggNOG;Pfam;Foldseek;STRING;phenotype,purifying-selection;MS-detected,0
Rv3305c,amiA1,-,N-acyl-L-amino acid amidohydrolase AmiA,Possible N-acyl-L-amino acid amidohydrolase AmiA1 (N-acyl-L-amino acid aminohydrolase),Function unknown; certainly hydrolyses L-amino acid.,3.5.1.-,0,requalified,high,N-acyl-L-amino acid amidohydrolase AmiA. Pfam: Peptidase_M20 (PF01546.34).,,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,MS-detected,0
Rv3306c,amiB1,-,amidase AmiB,Probable amidohydrolase AmiB1 (aminohydrolase),"Involved in cellular metabolism, active on carbon aliphatic amides and/or on many aromatic amides [catalytic activity: a monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3)].",3.5.1.-,0,requalified,high,"Amidase AmiB. Pfam: Peptidase_M20 (PF01546.34), M20_dimer (PF07687.20).",,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,MS-detected,0
Rv3307,deoD,mtbc0_003515,purine nucleoside phosphorylase,Probable purine nucleoside phosphorylase DeoD (inosine phosphorylase) (PNP),Involved in purine nucleoside salvage. Cleavage of guanosine or inosine to respective BASES and sugar-1-phosphate molecules [catalytic activity: purine nucleoside + orthophosphate = purine + alpha-D-ribose 1-phosphate].,2.4.2.1,0,requalified,high,Purine-nucleoside phosphorylase. Pfam: PNP_UDP_1 (PF01048.27).,2.4.2.1,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,MS-detected,0
Rv3308,pmmB,mtbc0_003516,phosphomannomutase PmmB,Probable phosphomannomutase PmmB (phosphomannose mutase),Converts D-mannose 1-phosphate to D-mannose 6-phosphate.,5.4.2.8,0,requalified,high,"Phospho-sugar mutase. Pfam: PGM_PMM_I (PF02878.23), PGM_PMM_II (PF02879.23), PGM_PMM_III (PF02880.23).",5.4.2.8,confirmed,0,,agree,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,MS-detected,0
Rv3309c,upp,mtbc0_003517,uracil phosphoribosyltransferase,Probable uracil phosphoribosyltransferase Upp (UMP pyrophosphorylase) (uprtase) (UMP diphosphorylase),Involved in pyrimidine salvage pathway [catalytic activity: UMP + pyrophosphate = uracil + 5-phospho-alpha-D-ribose 1-diphosphate].,2.4.2.9,0,requalified,high,"Uracil phosphoribosyltransferase. Pfam: UPRTase (PF14681.13), Pribosyltran (PF00156.34).",2.4.2.9,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,MS-detected,0
Rv3310,sapM,mtbc0_003518,acid phosphatase,Acid phosphatase (acid phosphomonoesterase) (phosphomonoesterase) (glycerophosphatase),Involved in cellular metabolism: acting on ester bonds [catalytic activity: an orthophosphoric monoester + H(2)O = an alcohol + orthophosphate].,3.1.3.2,0,requalified,high,Phosphatidylinositol-3-phosphatase. Pfam: Phosphoesterase (PF04185.20).,3.1.3.2;3.1.3.64,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,MS-detected,0
Rv3311,,mtbc0_003519,hypothetical protein,Conserved protein,Function unknown,,1,family_assigned,low,Primosomal protein.,,new_family_or_domain,0,,,curation/synthesis,0,eggNOG;Foldseek;STRING;phenotype,MS-detected,0
Rv3312A,,-,pilin,Secreted protein antigen,,,0,requalified,high,Pilin. Pfam: Pilin_Mycobact (PF26380.2).,,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv3312b,,-,hypothetical protein,,,,0,dark,low,Conserved hypothetical protein; no recognised domain. Function unknown.,,still_unknown,0,,,unknown,0,Foldseek,,0
Rv3312c,,mtbc0_003520,hypothetical protein,Conserved hypothetical protein,Function unknown,,1,family_assigned,medium,"Alpha/beta hydrolase. Pfam: Abhydrolase_1 (PF00561.27), Abhydrolase_6 (PF12697.14).",,new_family_or_domain,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,MS-detected,0
Rv3313c,add,mtbc0_003523,adenosine deaminase,Probable adenosine deaminase Add (adenosine aminohydrolase),Catalyzes hydrolytic deamination of adenosine and generates inosine [catalytic activity: adenosine + H(2)O = inosine + NH(3) (also may act on deoxyadenosine)].,3.5.4.4,0,requalified,high,Adenosine deaminase. Pfam: A_deaminase (PF00962.29).,3.5.4.4,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv3314c,deoA,mtbc0_003524,thymidine phosphorylase,Probable thymidine phosphorylase DeoA (tdrpase) (pyrimidine phosphorylase),"The enzymes which catalyze the reversible phosphorylosis of pyrimidine nucleosides are involved in the degradation of these compounds and in their utilization as carbon and energy sources, or in the rescue of pyrimidine BASES for nucleotide synthesis [catalytic activity: thymidine + phosphate = thymine + 2-deoxy-D-ribose 1-phosphate].",2.4.2.4,0,requalified,high,"Thymidine phosphorylase. Pfam: Glycos_trans_3N (PF02885.23), Glycos_transf_3 (PF00591.28), PYNP_C (PF07831.20).",2.4.2.2;2.4.2.4,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv3315c,cdd,mtbc0_003525,cytidine deaminase,Probable cytidine deaminase Cdd (cytidine aminohydrolase) (cytidine nucleoside deaminase),This enzyme scavenge exogenous and endogenous cytidine and 2'-deoxycytidine for UMP synthesis [catalytic activity: cytidine + H(2)O = uridine + NH(3)].,3.5.4.5,0,requalified,high,"Cytidine deaminase. Pfam: dCMP_cyt_deam_2 (PF08211.19), dCMP_cyt_deam_1 (PF00383.30).",3.5.4.5,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,MS-detected,0
Rv3316,sdhC,mtbc0_003526,succinate dehydrogenase cytochrome B-556 subunit,Probable succinate dehydrogenase (cytochrome B-556 subunit) SdhC (succinic dehydrogenase) (fumarate reductase) (fumarate dehydrogenase) (fumaric hydrogenase),Involved in tricarboxylic acid cycle. Mono-heme cytochrome of the succinate dehydrogenase complex.,1.3.99.1,0,family_assigned,medium,Succinate dehydrogenase%2C cytochrome b556 subunit. Pfam: Sdh_cyt (PF01127.28).,,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv3317,sdhD,mtbc0_003527,succinate dehydrogenase hydrophobic membrane anchor subunit,Probable succinate dehydrogenase (hydrophobic membrane anchor subunit) SdhD (succinic dehydrogenase) (fumarate reductase) (fumarate dehydrogenase) (fumaric hydrogenase),Involved in tricarboxylic acid cycle. Putative hydrophobic component of the succinate dehydrogenase complex. Could be required to anchor the catalytic components to the cytoplasmic membrane,1.3.99.1,0,family_assigned,medium,Succinate dehydrogenase hydrophobic membrane anchor subunit. Pfam: Sdh_cyt (PF01127.28).,,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,MS-detected,0
Rv3318,sdhA,mtbc0_003528,succinate dehydrogenase flavoprotein subunit,Probable succinate dehydrogenase (flavoprotein subunit) SdhA (succinic dehydrogenase) (fumarate reductase) (fumarate dehydrogenase) (fumaric hydrogenase),Involved in tricarboxylic acid cycle. Membrane-bound FAD-containing enzyme which is responsible for succinate interconversion [catalytic activity: succinate + acceptor = fumarate + reduced acceptor].,1.3.99.1,0,family_assigned,medium,"Succinate dehydrogenase flavoprotein subunit. Pfam: FAD_binding_2 (PF00890.31), Succ_DH_flav_C (PF02910.26).",1.3.5.1;1.3.5.4;1.4.3.16,ec_reclassified,0,,reclassified,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv3319,sdhB,mtbc0_003529,succinate dehydrogenase iron-sulphur protein subunit,Probable succinate dehydrogenase (iron-sulphur protein subunit) SdhB (succinic dehydrogenase) (fumarate reductase) (fumarate dehydrogenase) (fumaric hydrogenase),Involved in tricarboxylic acid cycle. Membrane-bound FAD-containing enzyme which is responsible for succinate interconversion [catalytic activity: succinate + acceptor = fumarate + reduced acceptor].,1.3.99.1,0,family_assigned,medium,"Succinate dehydrogenase iron-sulfur subunit. Pfam: Fer2_3 (PF13085.12), Fer4_10 (PF13237.12), Fer4_8 (PF13183.12), Fer4_17 (PF13534.12).",1.3.5.1;1.3.5.4,ec_reclassified,0,,reclassified,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv3320c,vapC44,mtbc0_003530,ribonuclease VapC44,Possible toxin VapC44. Contains PIN domain.,,,0,family_assigned,medium,Type II toxin-antitoxin system VapC family toxin. Pfam: PIN (PF01850.28).,3.1.-.-,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv3321c,vapB44,mtbc0_003531,antitoxin VapB44,Possible antitoxin VapB44,,,0,family_assigned,low,CopG family transcriptional regulator.,,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Foldseek;STRING,MS-detected,0
Rv3322c,,-,methyltransferase,Possible methyltransferase,Could cause methylation.,2.1.1.-,0,requalified,high,Methyltransferase. Pfam: Methyltransf_25 (PF13649.13).,,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv3323c,moaX,-,MoaD-MoaE fusion protein MoaX,Probable MoaD-MoaE fusion protein MoaX,Thought to be involved in molybdenum cofactor biosynthesis.,,0,requalified,high,"MoaD-MoaE fusion protein MoaX. Pfam: ThiS (PF02597.27), MoaE (PF02391.23).",2.8.1.12,confirmed,0,,,orthology (eggNOG),0,eggNOG;UniProt;Pfam;Foldseek;PDB;STRING,purifying-selection;MS-detected,0
Rv3324c,moaC3,mtbc0_003534,cyclic pyranopterin monophosphate synthase accessory protein,Probable molybdenum cofactor biosynthesis protein C 3 MoaC3,Thought to be involved in the biosynthesis of molybdopterin.,,0,requalified,high,Cyclic pyranopterin monophosphate synthase MoaC. Pfam: MoaC (PF01967.28).,4.6.1.17,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv3327,,mtbc0_003540,transposase fusion protein,Probable transposase fusion protein,Involved in the transposition in the insertion sequence element IS1547.,,0,family_assigned,medium,"IS110 family transposase. Pfam: DEDD_Tnp_IS110 (PF01548.24), Transposase_20 (PF02371.23).",,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,MS-detected,0
Rv3328c,sigJ,mtbc0_003541,ECF RNA polymerase sigma factor SigJ,Probable alternative RNA polymerase sigma factor (fragment) SigJ,The sigma factor is an initiation factor that promotes attachment of the RNA polymerase to specific initiation sites and then is released.,,0,family_assigned,medium,"Sigma-70 family RNA polymerase sigma factor SigJ. Pfam: Sigma70_r2 (PF04542.21), Sigma70_r4_2 (PF08281.19), SnoaL_2 (PF12680.14).",,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,purifying-selection;MS-detected,0
Rv3329,,-,aminotransferase,Probable aminotransferase,Function unknown; probably involved in cellular metabolism.,2.6.1.-,0,requalified,high,Aminotransferase. Pfam: Aminotran_3 (PF00202.28).,2.6.1.-,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,MS-detected,0
Rv3330,dacB1,mtbc0_003543,penicillin-binding protein DacB,Probable penicillin-binding protein DacB1 (D-alanyl-D-alanine carboxypeptidase) (DD-peptidase) (DD-carboxypeptidase) (PBP) (DD-transpeptidase) (serine-type D-ala-D-ala carboxypeptidase) (D-amino acid hydrolase),Involved in peptidoglycan synthesis (at final stages). Hydrolyzes the bound D-alanyl-D-alanine [catalytic activity: D-alanyl-D-alanine + H(2)O = 2 D-alanine].,3.4.16.4,0,requalified,high,"D-alanyl-D-alanine carboxypeptidase DacB1. Pfam: Peptidase_S11 (PF00768.26), Beta-lactamase2 (PF13354.13).",3.4.16.-;3.4.16.4,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,purifying-selection;MS-detected,0
Rv3331,sugI,-,sugar-transport integral membrane protein SugI,Probable sugar-transport integral membrane protein SugI,Thought to be involved in transport of sugar across the membrane. Responsible for the translocation of the substrate across the membrane.,,0,requalified,high,"Sugar-transport integral membrane protein SugI. Pfam: Sugar_tr (PF00083.31), MFS_1 (PF07690.22).",,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv3332,nagA,mtbc0_003545,N-acetylglucosamine-6-phosphate deacetylase NagA,Probable N-acetylglucosamine-6-phosphate deacetylase NagA (GlcNAc 6-P deacetylase),Involved in N-acetyl glucosamine utilization pathway [catalytic activity: N-acetyl-D-glucosamine 6-phosphate + H(2)O = D-glucosamine 6-phosphate + acetate].,3.5.1.25,0,requalified,high,N-acetylglucosamine-6-phosphate deacetylase. Pfam: Amidohydro_1 (PF01979.27).,3.5.1.25,confirmed,0,,agree,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,MS-detected,0
Rv3333c,prp1,mtbc0_003546,hypothetical protein,Hypothetical proline rich protein,,,1,requalified,medium,PDZ-interacting protease regulator Ppr1.,,new_function,1,requalified function,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv3334,,mtbc0_003547,MerR family transcriptional regulator,Probable transcriptional regulatory protein (probably MerR-family),Involved in a transcriptional mechanism.,,0,family_assigned,medium,"Hypoxia response transcriptional regulator. Pfam: MerR_1 (PF13411.13), MerR (PF00376.30), MerR-DNA-bind (PF09278.18).",,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,MS-detected,0
Rv3335c,yhjD,mtbc0_003548,integral membrane protein,Probable conserved integral membrane protein,,,0,requalified,high,Inner membrane protein YhjD. Pfam: Virul_fac_BrkB (PF03631.21).,,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv3336c,trpS,mtbc0_003549,tryptophan--tRNA ligase,Probable tryptophanyl-tRNA synthetase TrpS (tryptophan--tRNA ligase) (TRPRS) (tryptophan translase),Involved in translation mechanism [catalytic activity: ATP + L-tryptophan + tRNA(TRP) = AMP + pyrophosphate + L-tryptophanyl-tRNA(TRP)].,6.1.1.2,0,requalified,high,Tryptophan--tRNA ligase. Pfam: tRNA-synt_1b (PF00579.32).,6.1.1.2,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,essential;vulnerable;purifying-selection;MS-detected,0
Rv3339c,icd1,mtbc0_003551,isocitrate dehydrogenase,Probable isocitrate dehydrogenase [NADP] Icd1 (oxalosuccinate decarboxylase) (IDH) (NADP+-specific ICDH) (IDP),Involved in the KREBS cycle [catalytic activity: isocitrate + NADP(+) = 2-oxoglutarate + CO(2) + NADPH].,1.1.1.42,0,requalified,high,NADP-dependent isocitrate dehydrogenase. Pfam: Iso_dh (PF00180.26).,1.1.1.42,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,purifying-selection;MS-detected,0
Rv3340,metC,mtbc0_003552,O-acetylhomoserine sulfhydrylase,Probable O-acetylhomoserine sulfhydrylase MetC (homocysteine synthase) (O-acetylhomoserine (thiol)-lyase) (OAH sulfhydrylase) (O-acetyl-L-homoserine sulfhydrylase),Transforms O-acetylhomoserine into L-methionine [catalytic activity: O-acetyl-L-homoserine + methanethiol = L-methionine + acetate].,2.5.1.49,0,requalified,high,Bifunctional o-acetylhomoserine/o-acetylserine sulfhydrylase. Pfam: Cys_Met_Meta_PP (PF01053.27).,2.5.1.49,confirmed,0,,agree,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,MS-detected,0
Rv3341,metA,mtbc0_003553,homoserine O-acetyltransferase,Probable homoserine O-acetyltransferase MetA (homoserine O-trans-acetylase) (homoserine transacetylase) (HTA),Catalyzes acylation of L-homoserine. Involved in biosynthesis of methionine; HTA variant; first step [catalytic activity: acetyl-CoA + L-homoserine = CoA + O-acetyl-L-homoserine].,2.3.1.31,0,requalified,high,Homoserine O-acetyltransferase. Pfam: Abhydrolase_1 (PF00561.27).,2.3.1.31,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,essential;vulnerable;MS-detected,0
Rv3342,,mtbc0_003554,methyltransferase,Possible methyltransferase (methylase),Causes methylation,2.1.1.-,0,requalified,high,"Class I SAM-dependent methyltransferase. Pfam: Methyltransf_23 (PF13489.13), Ubie_methyltran (PF01209.25), Methyltransf_31 (PF13847.13), Methyltransf_25 (PF13649.13), Methyltransf_11 (PF08241.19), Methyltransf_12 (PF08242.19).",2.1.1.-,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,MS-detected,0
Rv3343c,PPE54,-,PPE family protein PPE54,PPE family protein PPE54,Function unknown,,0,family_assigned,medium,"PPE family protein PPE54. Pfam: PPE (PF00823.26), Pentapeptide_2 (PF01469.25).",,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,purifying-selection,0
Rv3344c,PE_PGRS49,-,PE-PGRS family protein PE_PGRS49,PE-PGRS family protein PE_PGRS49,Function unknown,,0,family_assigned,low,PE-PGRS family protein PE_PGRS49.,,confirmed,0,,,structure (PDB/Foldseek),0,Foldseek;STRING,,0
Rv3345c,PE_PGRS50,-,PE-PGRS family protein PE_PGRS50,PE-PGRS family protein PE_PGRS50,Function unknown,,0,family_assigned,medium,"PE-PGRS family protein PE_PGRS50. Pfam: PE (PF00934.26), PGRS (PF21526.3).",,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,pseudogene-candidate,0
Rv3346c,,mtbc0_003558,transmembrane protein,Conserved transmembrane protein,Function unknown,,0,dark,low,Conserved hypothetical protein; DUF domain(s) DUF3017. Function unknown.,,still_unknown,0,,,unknown,0,eggNOG;Pfam;Foldseek;STRING,,0
Rv3347c,PPE55,-,PPE family protein PPE55,PPE family protein PPE55,Function unknown,,0,family_assigned,medium,"PPE family protein PPE55. Pfam: PPE (PF00823.26), Pentapeptide_2 (PF01469.25).",,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv3348,,-,transposase,Probable transposase,Possibly involved in the transposition of the insertion sequence IS1608'.,,0,requalified,high,Transposase. Pfam: DEDD_Tnp_IS110 (PF01548.24).,,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,,0
